filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
fig4a,True,1,strong_wolfe,True,20,,100,0.01,629,0.0007282973965629,52:56
fig16b,True,0,None,True,5,0.5,100,0.01,2001,0.0150616941973567,13:11
fig4a,True,1,strong_wolfe,False,10,0.5,3,0.01,2001,0.0073831495828926,36:00
fig4a,False,1,None,False,5,,100,1.0,1130,0.0009736437350511,19:43
fig16b,False,0,strong_wolfe,True,40,,3,0.01,444,0.0004346724890638,1:07:05
fig4a,True,0,None,True,20,,100,0.01,299,0.0103359362110495,19:23
fig16b,False,1,None,True,5,,100,0.01,1336,0.0040501104667782,23:19
fig4a,False,0,None,False,40,1.0,3,1.0,257,0.0002930270857177,35:46
fig4a,False,1,None,False,40,,3,1.0,263,0.0003181355423294,36:24
fig16b,False,0,strong_wolfe,True,5,1.0,10,0.01,1715,0.001992181641981,34:14
fig16b,False,1,strong_wolfe,True,20,,3,0.01,839,0.0003842169826384,1:10:14
fig4a,True,1,strong_wolfe,False,10,1.0,3,1.0,764,0.0006028153584338,23:46
fig4a,True,1,None,False,20,1.0,10,0.01,437,0.0101120267063379,30:19
fig16b,True,0,None,False,10,,3,0.01,912,0.0031070655677467,31:55
fig4a,False,0,strong_wolfe,False,5,0.5,10,1.0,2001,0.0172318778932094,14:06
fig4a,False,1,None,False,5,1.0,10,1.0,1319,0.0011312325950711,22:43
fig4a,False,0,strong_wolfe,True,40,0.5,10,1.0,369,0.0003733074408955,25:42
fig16b,False,0,strong_wolfe,False,40,0.5,100,0.01,858,0.0006029198993928,58:49
fig4a,True,1,None,True,40,1.0,10,0.01,257,0.0097514707595109,32:15
fig16b,False,1,None,False,40,1.0,3,0.01,356,0.0024953379761427,45:57
fig4a,True,1,strong_wolfe,False,10,1.0,10,1.0,764,0.0006028153584338,26:55
fig4a,False,1,strong_wolfe,True,20,,100,0.01,683,0.0006934680859558,57:22
fig4a,False,1,strong_wolfe,True,20,1.0,10,1.0,374,0.0004078797355759,26:16
fig4a,False,1,strong_wolfe,True,40,1.0,3,0.01,510,0.0005168613861314,1:08:15
fig4a,False,1,None,True,10,0.5,3,0.01,775,0.008922804147005,11:49
fig4a,True,0,strong_wolfe,True,40,1.0,10,0.01,509,0.0006637392216362,1:07:50
fig16b,True,1,None,False,10,,10,1.0,625,0.0003730727185029,21:35
fig4a,False,0,strong_wolfe,False,40,,100,1.0,235,0.0003127770323771,36:15
fig16b,False,0,None,True,10,1.0,10,0.01,713,0.0036864064168184,24:37
fig16b,True,0,None,False,10,0.5,3,0.01,1229,0.011776678264141,21:15
fig4a,True,0,strong_wolfe,True,5,,100,0.01,2001,0.0061181397177278,43:18
fig4a,False,1,strong_wolfe,False,10,,100,1.0,718,0.0005385224358178,29:24
fig16b,True,0,None,True,40,1.0,3,0.01,316,0.0037031138781458,39:07
fig16b,True,1,strong_wolfe,True,5,,100,1.0,1036,0.0006785201840102,21:37
fig16b,True,0,strong_wolfe,True,40,1.0,10,1.0,253,0.0002902919077314,32:20
fig16b,False,0,strong_wolfe,False,5,,10,1.0,894,0.0006413204828277,17:21
fig16b,False,0,strong_wolfe,False,10,,3,0.01,1163,0.001063120434992,48:55
fig16b,False,1,strong_wolfe,False,20,,100,1.0,343,0.0002619237930048,26:49
fig16b,True,1,None,False,40,1.0,3,0.01,284,0.0050513092428445,39:20
fig4a,False,0,None,True,40,1.0,100,1.0,252,0.0003065314667765,35:02
fig4a,False,0,strong_wolfe,False,10,,3,0.01,1403,0.0011251594405621,54:04
fig16b,True,1,strong_wolfe,False,40,,100,1.0,246,0.0002670605608727,37:33
fig4a,True,0,None,True,40,0.5,10,0.01,348,0.0082924664020538,24:12
fig4a,False,0,None,False,5,0.5,100,0.01,2001,0.0535038560628891,13:41
fig16b,False,0,strong_wolfe,True,20,,3,1.0,286,0.000414739944972,22:21
fig16b,False,1,None,False,10,,100,0.01,913,0.0042708292603492,31:52
fig4a,True,1,strong_wolfe,True,40,1.0,3,0.01,466,0.0006264676922,1:00:18
fig16b,True,1,None,True,5,,3,0.01,1448,0.0025257947854697,25:31
fig16b,False,1,None,False,5,1.0,3,0.01,2001,0.0058290469460189,34:17
fig4a,True,0,strong_wolfe,True,5,,10,0.01,2001,0.0061181397177278,43:41
fig16b,False,1,strong_wolfe,True,40,,100,0.01,466,0.0002897848025895,1:14:45
fig4a,True,1,strong_wolfe,True,5,,10,0.01,1812,0.001435742364265,39:06
fig16b,False,0,strong_wolfe,True,5,0.5,100,1.0,1730,0.0028449425008147,11:55
fig16b,True,0,None,True,40,,3,0.01,299,0.0044956523925065,42:00
fig4a,False,0,strong_wolfe,True,20,0.5,3,0.01,1155,0.0013406524667516,40:37
fig4a,False,0,strong_wolfe,False,10,1.0,3,1.0,767,0.0005319131887517,23:38
fig16b,True,1,strong_wolfe,True,20,1.0,3,1.0,434,0.0004356613208074,30:23
fig16b,True,0,None,True,20,0.5,100,1.0,707,0.0004945623222738,24:45
fig4a,False,0,None,False,20,1.0,3,1.0,423,0.0003923482436221,29:26
fig4a,True,0,strong_wolfe,False,40,0.5,10,0.01,866,0.0010214494541287,59:01
fig16b,False,0,strong_wolfe,False,40,,10,1.0,201,0.0002057584933936,30:21
fig16b,False,0,strong_wolfe,False,40,,100,0.01,418,0.0004147541185375,1:06:06
fig16b,False,1,strong_wolfe,True,20,0.5,3,0.01,1079,0.0016053571598604,37:46
fig4a,True,0,None,False,20,,100,1.0,403,0.000379185861675,28:07
fig16b,False,0,None,True,40,1.0,3,0.01,234,0.0031096078455448,29:55
fig16b,True,1,None,True,10,0.5,3,0.01,1383,0.0037287401501089,23:35
