index,filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
0,fig16b,False,0,strong_wolfe,False,5,5.0,100,100.0,897,0.0076081431470811,1185.0783879756927
0,fig16b,False,1,strong_wolfe,False,10,5.0,100,10.0,341,0.0219389200210571,461.6348299980164
0,fig4a,False,1,strong_wolfe,False,5,,100,10.0,604,0.0187452025711536,952.9884548187256
0,fig16b,False,1,strong_wolfe,False,5,2.0,100,100.0,632,0.0208815541118383,634.2859447002411
0,fig4a,False,1,strong_wolfe,False,20,20.0,100,100.0,254,0.0185585636645555,1010.0495908260344
0,fig16b,False,0,strong_wolfe,False,40,40.0,100,100.0,162,0.0076081431470811,1034.5305182933807
0,fig4a,False,0,strong_wolfe,False,5,2.0,100,10.0,598,0.0560613721609115,546.1633925437927
0,fig16b,False,0,strong_wolfe,False,5,5.0,100,3.0,278,0.0196506902575492,403.1931130886078
0,fig16b,False,1,strong_wolfe,False,10,,100,10.0,160,0.0219389200210571,367.7944221496582
0,fig4a,False,0,strong_wolfe,False,20,10.0,100,10.0,173,0.0560613721609115,367.1788914203644
0,fig4a,False,0,strong_wolfe,False,5,5.0,100,100.0,745,0.0195209588855505,1126.6955456733704
0,fig16b,False,0,strong_wolfe,False,10,10.0,100,10.0,311,0.0117755411192774,697.4267747402191
0,fig4a,False,0,strong_wolfe,False,10,10.0,100,1.0,766,0.000533887243364,1717.6073195934296
0,fig16b,False,1,strong_wolfe,False,5,2.0,100,30.0,537,0.0247932374477386,533.9565505981445
0,fig16b,False,0,strong_wolfe,False,5,,100,3.0,235,0.0196506902575492,383.4253959655762
0,fig16b,False,1,strong_wolfe,False,20,,100,3.0,125,0.0131634529680013,484.487464427948
0,fig4a,False,0,strong_wolfe,False,5,5.0,100,1.0,1282,0.0010425315704196,1595.735221862793
0,fig16b,False,0,strong_wolfe,False,20,,100,100.0,228,0.0076081431470811,1035.5369942188263
0,fig4a,False,0,strong_wolfe,False,5,,100,1.0,1064,0.0009804992005228,1536.518720626831
0,fig4a,False,1,strong_wolfe,False,20,20.0,100,1.0,439,0.0004779796872753,1912.041255950928
0,fig16b,False,1,strong_wolfe,False,5,5.0,100,3.0,456,0.0131634529680013,615.1712403297424
0,fig4a,False,1,strong_wolfe,False,10,,100,10.0,328,0.0187452025711536,861.883141040802
0,fig4a,False,0,strong_wolfe,False,10,10.0,100,100.0,435,0.0195209588855505,924.5998709201812
