index,filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
0,fig4a,False,0,strong_wolfe,False,10,10.0,100,2.0,255,0.0199000556021928,285.55494594573975
0,fig16b,False,1,strong_wolfe,False,10,5.0,100,0.3,1349,0.0010293533559888,634.7806997299194
0,fig4a,False,0,strong_wolfe,False,40,40.0,100,0.03,523,0.0004222094430588,1712.473929643631
0,fig4a,False,1,strong_wolfe,False,5,,100,1.1,1183,0.001141374814324,1672.56649518013
0,fig4a,False,0,strong_wolfe,False,10,5.0,100,0.5,1274,0.0012423589359968,1546.1878635883331
0,fig4a,False,1,strong_wolfe,False,5,5.0,100,1.1,1378,0.0012956983409821,1666.204221725464
0,fig16b,False,0,strong_wolfe,False,20,10.0,100,0.3,695,0.0004826135991606,620.7285716533661
0,fig4a,False,0,strong_wolfe,False,5,2.0,100,0.5,2001,0.019881647080183,1185.890080451965
0,fig4a,False,0,strong_wolfe,False,10,5.0,100,0.3,1480,0.0012286709388718,744.1936321258545
0,fig4a,False,1,strong_wolfe,False,5,,100,0.3,1421,0.001210503745824,822.7215259075165
0,fig4a,False,0,strong_wolfe,False,10,5.0,100,0.1,1925,0.0013399499002844,983.5633010864258
0,fig4a,False,1,strong_wolfe,False,10,5.0,100,0.03,2001,0.0062297182157635,1321.4369637966156
0,fig4a,False,0,strong_wolfe,False,10,,100,1.1,172,0.0240786485373973,430.9788753986359
0,fig4a,False,1,strong_wolfe,False,5,2.0,100,0.03,2001,0.0382914505898952,758.2757620811462
0,fig16b,False,1,strong_wolfe,False,20,20.0,100,2.0,75,0.0299919676035642,76.83522772789001
0,fig16b,False,1,strong_wolfe,False,40,40.0,100,0.1,360,0.0002833819016814,1103.5729534626007
0,fig4a,False,0,strong_wolfe,False,10,5.0,100,2.0,490,0.0199000556021928,338.0340704917908
0,fig16b,False,0,strong_wolfe,False,10,10.0,100,0.9,592,0.0004758402646984,1316.7529332637787
0,fig4a,False,1,strong_wolfe,False,5,5.0,100,0.03,2001,0.0062297182157635,1026.3330991268158
0,fig4a,False,1,strong_wolfe,False,20,,100,1.1,404,0.0004732605884782,1954.647071838379
0,fig16b,False,1,strong_wolfe,False,10,5.0,100,0.9,1121,0.0009468984790146,1356.3423612117767
0,fig16b,False,0,strong_wolfe,False,10,,100,0.01,1184,0.0010978577192872,1597.1431155204773
0,fig16b,False,1,strong_wolfe,False,40,40.0,100,0.03,476,0.0003479249426163,1721.511284828186
0,fig4a,False,0,strong_wolfe,False,10,,100,0.01,1360,0.0012081392342224,1457.6266090869904
0,fig16b,False,1,strong_wolfe,False,40,,100,1.1,205,0.0002248537493869,1582.7945272922516
0,fig16b,False,1,strong_wolfe,False,40,20.0,100,0.5,397,0.0003011600929312,1406.3272426128387
0,fig16b,False,1,strong_wolfe,False,10,10.0,100,0.1,1085,0.0006738279480487,988.065195798874
0,fig4a,False,0,strong_wolfe,False,20,20.0,100,0.5,443,0.0004574930935632,1870.217238664627
0,fig4a,False,0,strong_wolfe,False,10,10.0,100,1.0,788,0.0005361441872082,919.046417236328
0,fig16b,False,0,strong_wolfe,False,40,40.0,100,0.9,212,0.0002307510440004,1628.275480747223
0,fig16b,False,0,strong_wolfe,False,5,2.0,100,0.9,2001,0.0040248031727969,1194.3096783161163
0,fig4a,False,1,strong_wolfe,False,5,5.0,100,2.0,248,0.0440489761531353,148.2006537914276
0,fig4a,False,0,strong_wolfe,False,10,,100,0.03,1142,0.0010887520620599,1238.16810464859
0,fig16b,False,0,strong_wolfe,False,5,5.0,100,0.3,1127,0.0011409552535042,526.5878140926361
0,fig4a,False,0,strong_wolfe,False,40,20.0,100,0.03,763,0.0009024160099215,1308.328950881958
0,fig16b,False,0,strong_wolfe,False,40,,100,0.03,371,0.0002846580173354,1844.4913775920868
0,fig4a,False,1,strong_wolfe,False,5,5.0,100,0.3,1674,0.0013850447721779,879.0278177261353
0,fig4a,False,0,strong_wolfe,False,40,40.0,100,0.3,289,0.0003183095250278,974.8453269004822
0,fig16b,False,1,strong_wolfe,False,10,,100,0.01,1325,0.0012423881562426,1402.694365978241
0,fig4a,False,0,strong_wolfe,False,5,5.0,100,1.0,1276,0.0011310124536976,639.3714768886566
0,fig16b,False,1,strong_wolfe,False,10,10.0,100,0.01,1490,0.0014124434674158,1282.118907213211
0,fig4a,False,0,strong_wolfe,False,5,,100,1.0,1079,0.0010184231214225,636.0716564655304
0,fig4a,False,1,strong_wolfe,False,5,2.0,100,1.1,2001,0.013488688506186,1214.2081830501556
0,fig4a,False,1,strong_wolfe,False,40,20.0,100,0.03,956,0.0006962743937037,1596.548748254776
0,fig4a,False,1,strong_wolfe,False,20,20.0,100,1.0,441,0.0004919290076941,752.5906841754913
0,fig16b,False,0,strong_wolfe,False,5,5.0,100,0.1,1700,0.0012444555759429,853.7924621105194
0,fig4a,False,1,strong_wolfe,False,10,5.0,100,0.5,1358,0.0015429898630827,1632.434590101242
0,fig16b,False,0,strong_wolfe,False,40,20.0,100,0.01,908,0.0005520915728993,1549.0643017292025
0,fig4a,False,0,strong_wolfe,False,20,20.0,100,0.3,494,0.0004141500103287,850.9700014591217
0,fig4a,False,0,strong_wolfe,False,40,,100,1.1,80,0.0240786485373973,385.88954854011536
0,fig4a,False,0,strong_wolfe,False,20,10.0,100,0.03,1348,0.0011263831984251,1241.9853434562683
0,fig16b,False,0,strong_wolfe,False,5,,100,0.9,901,0.0006975104333832,1282.2431871891022
0,fig16b,False,0,strong_wolfe,False,10,5.0,100,0.3,1127,0.0011409552535042,558.2879202365875
0,fig16b,False,0,strong_wolfe,False,40,20.0,100,0.03,744,0.0004985482664778,1578.4337368011477
0,fig16b,False,1,strong_wolfe,False,10,,100,2.0,92,0.0299919676035642,101.2904818058014
0,fig4a,False,1,strong_wolfe,False,40,20.0,100,0.5,485,0.000543040165212,2042.5285675525663
0,fig16b,False,0,strong_wolfe,False,5,5.0,100,1.0,906,0.0010957610793411,567.5784578323364
0,fig4a,False,1,strong_wolfe,False,20,10.0,100,0.9,810,0.0006245385156944,1800.4223010540009
0,fig16b,False,0,strong_wolfe,False,10,10.0,100,1.0,594,0.000447618367616,535.662796497345
0,fig4a,False,1,strong_wolfe,False,40,40.0,100,0.01,654,0.0005091003258712,2104.156066417694
0,fig16b,False,1,strong_wolfe,False,10,10.0,100,0.03,1397,0.0008411058224737,1282.130527496338
0,fig16b,False,0,strong_wolfe,False,40,,100,1.0,205,0.0002071506314678,741.4931282997131
