index,filename,seed,loss,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,synth_loss,synth_duration
0,fig16d,0,1.9828406562297876,5,2.0,3,0.3,101,0.3904812932014465,23.792954683303837
0,fig4a,1,0.019155381730273785,20,,10,1.0,101,0.0026461149100214,280.01028275489807
0,fig4a,0,0.16639181428025235,10,,3,1.0,101,0.0271486714482307,141.92619609832764
0,fig4a,1,0.11351668016914172,10,,30,0.3,101,0.0172857083380222,129.66005492210388
0,fig16d,0,0.7846695698745881,40,40.0,300,0.3,69,0.128443956375122,207.9120442867279
0,fig4a,1,0.217292671259523,10,,3,0.3,101,0.0344327092170715,128.58714962005615
0,fig16b,1,0.03130404245439287,20,10.0,3,3.0,101,0.005058869253844,126.60466599464417
0,fig4a,0,0.08404831141268541,20,10.0,300,1.0,101,0.012266538105905,153.34017896652222
0,fig16b,0,0.0039018214457770726,40,,30,3.0,101,0.0005600301665253,623.646265745163
0,fig16d,0,1.6915063313634835,5,2.0,300,0.3,101,0.3237355649471283,24.552757501602173
0,fig16b,1,0.01159168405435517,40,20.0,10,0.3,101,0.0016397525323554,248.3145968914032
0,fig16d,0,1.2672229086793423,5,2.0,300,1.0,101,0.2178225815296173,27.72682237625122
0,fig16b,0,0.01070160811731782,20,20.0,30,0.3,101,0.0016075889579951,249.48592877388
0,fig16d,1,0.8086877069473544,10,10.0,100,3.0,101,0.1316309422254562,145.95827412605286
0,fig16b,0,0.06573721868202083,5,,100,3.0,101,0.0097599821165204,79.20334839820862
0,fig4a,1,0.06525704086434575,10,10.0,10,1.0,101,0.0099093588069081,116.16536664962769
0,fig16d,1,0.7710501531486177,5,,100,1.0,101,0.128290981054306,101.94911861419678
0,fig4a,1,0.22678540344568965,10,5.0,10,1.0,101,0.0365535207092762,59.28599238395691
0,fig16b,0,0.01337067354128272,20,20.0,3,1.0,101,0.0019180723465979,226.0287294387817
0,fig16d,0,0.6925825884346537,40,20.0,300,3.0,93,0.1130279675126075,224.2035341262817
0,fig16d,0,0.9099953746501124,40,,10,0.3,64,0.1517175436019897,158.91085815429688
0,fig16d,0,0.8067676945588556,5,5.0,100,1.0,101,0.1321256309747696,75.41356539726257
0,fig16d,1,1.1780980231071516,10,,10,0.3,72,0.2074089795351028,124.6394522190094
0,fig16b,0,0.03182465693771989,10,,3,3.0,101,0.0049231317825615,143.17127084732056
0,fig16d,1,0.79015790687245,40,20.0,300,3.0,81,0.1278950572013855,150.2718060016632
0,fig4a,0,0.314767066206052,5,5.0,30,3.0,101,0.0502595715224742,65.75429654121399
0,fig16b,0,0.07378123974468406,10,5.0,10,3.0,101,0.0121500389650464,64.30574488639832
0,fig16b,0,0.20835582818322493,5,2.0,300,1.0,101,0.0320962034165859,27.211963891983032
0,fig16d,1,0.8818394633549929,5,,300,1.0,101,0.1499560177326202,117.87453603744508
0,fig4a,1,0.006050475261934672,40,,30,1.0,101,0.0008285660296678,547.6387650966644
